more_info,is_dress,is_mini
"The look of separates proferred by an effortless, all-in-one style, this layered shirtdress is cast in sleek silk with the accent of printed abstract sparrows in flight across its collar, placket, pocket and skirt.

- Spread collar
- Concealed button front
- Long sleeves
- Double-button cuffs
- Breast pocket
- Concealed back zip
- Back waist darts
- Lined
- About 21"" from natural waist
- Silk
- Dry clean
- Imported

",True,True
"Deep V-front and back, fitted bodice, topstitched seams and a flounce hem create a perfectly feminine silhouette for this chic dress. 
- Model is a size 2. Height 5'10.
- Hits above the knee.
- 38"" inches from model high point shoulder.
- 100% polyester.
-   Dry clean only. 
- Imported.",True,True
"A subtle structured high low hem gives this cocktail dress a bit of dimension. The concentrated ombre print at the waistline complements the female form. - Hook and eye above concealed zipper at center back
- Fit and flare silhouette
- 100% Polyester
- 100% Polyester
-  Length: Front 32in, Back 35 1/2in, Bust: 37in, Waist: 28.75in, Low Hip: 43.5in
- Dry Clean Only
- Imported
- SON151465P",True,True
"EXCLUSIVELY AT SAKS. A painterly floral print adds dimension to this sculptural jacquard design in a minimalist silhouette.

- Allover print
- Round neckline
- Short sleeves
- Gathered side and back panels
- Contrast trim at hem
- Concealed back zipper
- About 32"" from shoulder to hem
- Polyester/elastane
- Dry clean
- Made in Italy

",True,True
"- Chunky knitted dress with raised ottoman details in black.
- Loose fitted garment.
- Viscose-poly blend yarn.
- Dry Clean Only.
- Made in USA.",True,True
"...wearing your carefree Cafe Zoe dress, raspberries and a bottle of wine in your knapsack, you ride your bike around a crystal clear mountain lake with your best friends from childhood, chatting away the whole time...
100% cotton
                             xs            s            m             l
bust:                     33""       34.65""      36""          37.8""
princess seam:   30.3""     31.9""        33.5""       35""
length:                  34""       34.25""      34.65""     35""
In the blue, of this life
Where it ends, in the night
When you couldn't see you would come for me."" -Beach House
",True,True
"A bit sexier than your average Little Black Dress, the Danie features our heritage high racerback neckline and open back. With a structured leather top and flowy skirt to boot, it's a no brainer. - Crewneck - Sleeveless - Zips at back - Back is open with vertical band detail - Top of dress is embossed leather - Fully lined - Pleat at center front of skirt - Knee length",True,True
"Rich tweed gives structure to a V-neck dress. Fitted bodice, defined waist, inverted pleat skirt. Frayed seams throughout, in seam pockets, back zip. 
- Model is a size 2. Height 5'10.
- Hits below the hip.
- 31"" inches from high point shoulder.
- Faux fur: 80% modacrylic, 20% polyester.
- Combo 1: 100% genuine lamb leather.
- Combo 2: 67% rayon, 27% nylon, 6% spandex.
- Lining: 100% polyester.
-  Dry clean only. 
- Imported.",True,True
"(FINAL SALE!) 
Details:
A bow tie and cutout back offer a flirty surprise to this classic sheath. Wide waistband defines the figure. Exposed back zippers.

Fabric: Cotton metal. 
Cotton/nylon/metal/lycra. 
Dry clean without trichloroethylene, low iron.                            
How It Fits:
Length: 39"" / 99cm from shoulder to hem
Model is in size 0
Model is 5'9"" / 175cm, bust 32"" / 81cm, waist 23"" / 58.5cm, hips 35"" / 88cm",True,True
"
- Printed silk shift with tassel accent
- V-neck
- Long sleeves
- Shirred cuffs
- Self-tie detail with tassel embellishment
- Cropped front hem
- Pullover style
- About 18"" from natural waist
- Silk
- Dry clean
- Imported
- Model shown is 5'10"" (177cm) wearing US size Small.

",True,True
"COSMIC COBALT.
Simple yet polished, the DVF Kora is a versatile tunic that moves and drapes with ease. Transitions easily between seasons. Slip on style. Falls to mid-thigh.
Fabric: 75% Triacetate 25% Polyester
75% Triacetate 25% Polyester",True,True
Long sleeve • Mini length • Round neck •  Fitted •  Wrap detail                                                                                                                            50%LAINE 48%POLYESTER 2%ELASTHANNE,True,True
"Details:
Ruched seams detail the body of this boat neck sheath dress. Back zipper closure. Sleeveless. 

Fabric: Ponte.
Rayon/nylon/elastane.
Dry clean.

How It Fits:
Length: 35in / 89cm, from shoulder to hem.

Model is in a size S. Model is 5’ 10”, bust 34""/ 86 cm, waist 24.5”/ 62 cm, hips 35.5”/ 90 cm.",True,True
"Lightweight and flowy, we love the versatility of the Amber Dress and how good she looks paired with tights and boots for chillier temps. 

- V-neck
- Sleeveless
- Zipper closure at back
- Shift dress
- Lined",True,True
"Gorgeous allover beading in a beautiful floral print are just what the doctor ordered! We can't wait to get our hands on the Alaina, a truly standout piece, in our near and dear low v neck silhouette. - Low V at front and back - Sleeveless - Zips at back - Embellishment throughout - Fully lined - Fitted throughout - Mid-thigh length - Fully lined",True,True
"...riding along dry pine tree forests on your moped with view on the bluest water on a tiny island in Greece, who cares that you got lost. You find a kiosk on a desserted beach and share an ice cold coke...
The Mari dress shows off your tan back and legs. It's a constant vacation with the Mari dress.
 
Length is 31"" and above bust line is 35.5"" Size S
100% cotton
""Here comes the breath before we get a little bit closer
 Here comes the rush before we touch, come a little closer""-Tegan and Sara
Yoke line: XS- 33.8"" // S- 35.5"" // M- 37"" // L- 38.5""
Length from shoulder down:
XS- 31"" // S- 31.5"" // M- 32"" // L- 32.5""
Additional photos: Hannah Metz/ Emily Claire Alben and Champagne Victoria",True,True
"A SEXY UPDATE ON THE CLASSIC SHIRT DRESS, THE STRAPPY SHIRT DRESS FEATURES A BUTTON FRONT, BUTTON FLAP CHEST POCKETS, SLANT FRONT POCKETS AND VENTED HEM.",True,True
Sexy striped mini in our comfortable and slimming stretchy cotton spandex jersey. Features a u-neck and deep scoop back.,True,True
"Heavy beaded embellishment along the top, back and kimono-style sleeves elevate our printed Yoko Georgette mini Dress for evening. The full cut is universally flattering and fully lined for a smooth finish. 

DESCRIPTION 

- Printed georgette dress 
- Bead embellishment 
- Kimono-style sleeves 
- Fully lined 
- Back button fastenings 
- US size S length is 87cm 

Our model is 5ft 9.5"" and is wearing a US size S. 

Style code - 71exs 


MATERIAL & CARE 

- 100% Viscose 

French Connection does not ship to Puerto Rico",True,True
"A CLASSIC SUNDRESS IN STRIPED COTTON, THE INDIO DRESS FEATURES A SCOOP NECK, BUTTON FRONT AND FULL SKIRT WITH SUBTLE PLEATING.",True,True
"style notes
 Nothing says fabulous like a crisp LBD. Our latest version is both modern and classic with it’s A-line silhouette and sleeveless style.    
 DETAILS
 
- Boatneck- Flared at waistline- Lined- Flowy",True,True
"(FINAL SALE!) Details:
This square neck sheath dress features sheer latticed seams and a back cutout. Exposed back zipper. Sleeveless.

Fabric: Techy crepe.
Polyester/elastane.
Dry clean.

How It Fits:
Length: 38in / 96.5cm, from shoulder to hem
Model is in size 0
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm",True,True
"Oversized paisley and a scattered polka dot print add whimsical charm to this vintage-inspired fit-&-flare dress.

- V-neck
- Long sleeves
- Concealed back zip closure
- Puff shoulders
- Fit-and-flare silhouette
- Ruffle hem
- About 22"" from natural waist
- Viscose
- Dry clean
- Imported

",True,True
"Description 
Long sleeve skater dress with ponte construction, open back and closure at neck. 

• 60% Rayon 35% Nylon 5% Elastane construction
• 2 Button Collar Clasp
• Open Back
• Form-fitting 

We do not ship to freight forwarders",True,True
"(FINAL SALE!) 
Details:
A breezy prairie-style dress with a V-bar neckline. Slim straps suspend the off-shoulder silhouette and elastic gathers the waist. Pull-over style. Draped 3/4 sleeves. Lined. 

Fabric: Georgette.
Viscose. 
Dry clean.                             
How It Fits:
Length: 32in / 81cm, from shoulder to hem
Model is in size 0
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm",True,True
"Marc by Marc Jacobs Sketch Stripe Tee Dress is made from a soft cotton fabrication, featuring an all-over hand-sketched stripe print.  Sleeveless with a crew neckline, and a front fold detail lends to an interesting silhouette. Dress has an above-the-knee hemline. Neckline and armholes are trimmed in solid black. 

100% Cotton

#M4004487",True,True
"EXCLUSIVELY AT SAKS. Delicate floral appliques bloom throughout this mod shift dress, finished with airy sheer sleeves.
- Allover floral appliques
- Mockneck
- Banded trim at empire waist and elbows
- Sheer three-quarter sleeves
- A-line skirt
- Concealed back zipper
- Lined
- About 34"" from shoulder to hem
- Polyester
- Dry clean
- Made in Italy

",True,True
"A FEMININE DRESS IN SUMMERY GINGHAM PRINT, THE BAY DRESS FEATURES A SUBTLY PLEATED SKIRT WITH SIDE SEAM POCKETS AND RELAXED, LOOSE FIT.",True,True
"Our Delsie dress in thermal stitch features a blouson top, v-neck and fitted skirt- a versatile dress for on and off-duty dressing.     
													Details
							    - Thermal Stitch Solid Sweater
- 40% Polyester 30% Viscose 30% Wool
- Machine Wash
- Imported, China

																    -  Model Is Wearing Size Small 
-  Model Measurements: Height:  5' 10.5"" Bust: 34"" Waist: 24"" 
- Length 35""",True,True
"You're sipping spicy cider with your love and picking out the perfect little pumpkin to bring home from your favorite fall festival...
pleated skirt, zipper in back, fitted sleeves.

Details: alchemy print in wool/ silk blend.
Measurements:  
Bust: 32""
Waist: 30""                                                                                                             
Dry clean please.",True,True
- Boatneck - Exposed back zip - Mini length,True,True
"(FINAL SALE!) 
Details:
This floral techno metal dress features a cowl neck and V back. A seamed band defines the waist. Hidden back zipper. Sleeveless. 
*Pattern may vary slightly. 

Fabric: Techno metal.
Polyester/nylon/metal/elastane.
Hand wash.                            
How It Fits:
Length: 37in / 94cm, from shoulder to hem
Model is in size 0
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm",True,True
- 100% Cotton - Features embellishment - Sleeveles - Exposed back zip - Mini length,True,True
"Autumn/Winter 2015 Collection     The Roland Mouret Oshmia tunic showcases a playful take on asymmetrical design, with fold over tailoring to...         Autumn/Winter 2015 Collection     The Roland Mouret Oshmia tunic showcases a playful take on asymmetrical design, with fold over tailoring to the neckline that culminates in a singular, capped sleeve. Striking and modern, this slim piece creates svelte contours with a fitted, sheath silhouette and a mini length skirt, perfectly complemented by textured slug weave.     74% Viscose; 14% Cotton; 12% Polyamide      Shop all dresses",True,True
"Day to night, night to day, and everything in between. A satin panel defines the waistline of this effortless style, wrapping around a golden chain to form a uniquely elegant neckline.

- Closure On The Chain At Back, Hook And Eye Above Zipper At Center Back
- Fitted silhouette
- 60% Triacetate and 40% Polyester, 100% Polyester
-  Length: 32 3/4-36 3/4in, Bust: 36in, Waist: 31.25in, Low Hip: 40.5in
- Dry Clean Only
- Imported
- CGX051612C",True,True
"- Ponte rounded hem dress with silk charmeuse combo detail
- Body: 65% Viscose, 30% Polyamide, 5% Elastane / Combo: 100% Silk

- Dress length: mid
- Dry Clean Only 
- Made in USA",True,True
"The modern appeal of a fit-and-flare silhouette, crossed with the refinement of subtle pleating. This chic work-to-weekend dress features a contoured fit with slight stretch for a feminine sensibility. A double pleat below the dropped waist creates a slightly billowed look, soft side pleating enhances a feminine shape  that moves with ease. Its high V neckline is  sophisticated and flattering. Falls just above the knee.",True,True
"Tap into this season's 70s-inspired trend in this embellished Laser-Cut Tunic Dress. The laser-cut collar and hem are detailed with tonal bead embellishment, while the keyhole front and gathered waist add to its bohemian aesthetic. 

DESCRIPTION 

- Loose-fitting crepe tunic dress 
- Round neck 
- Long sleeves 
- Gathered waistline 
- Laser-cut trims 
- Bead embellishment 
- Tie-fastening with keyhole cut-out at front 
- US size 6 length is approximately 85cm 

Our model is 5ft 9.5"" and is wearing a US size 6. 

Style code - 71ext 


MATERIAL & CARE 

- 100% Polyester 

French Connection does not ship to Puerto Rico",True,True
"A monotone leopard motif in a lustrous finish adds eye catching glamour to this fit-&-flare silhouette.
- Round neckline
- Sleeveless
- Exposed back zip closure
- About 43"" from shoulder to hem
- Cotton/polyester/elastane
- Dry clean
- Imported
- Model shown is 5'10"" (177cm) wearing US size Small.

",True,True
"A cool pop of color refreshes the fit-and-flare silhouette, designed with clean lines, a modern sweetheart neckline and a gently flared skirt.

- Slender shoulder straps
- Sweetheart neckline
- Fitted bodice
- Flared skirt
- Back zip closure
- Fully lined
- About 19"" from shoulder to hem
- Polyester/viscose/elastane
- Dry clean
- Imported

",True,True
"An intricately crocheted shift dress offering easy day-to-night styling options. 

- V-neck
- Sleeveless
- Concealed back zip
- Lined
- About 19"" from natural waist
- Nylon
- Dry clean
- Imported

",True,True
"Marc by Marc Jacobs Compact Wool Strap Dress is made from a wool-stretch blend fabrication, lending structure and stretch to this sleeveless dress. Drop waist silhouette with an A-line pleated skirt, with a hemline falling above-the-knee. Shoulder straps are two adjustable buckled straps with belt loop closures.

98% Wool. 2% Lycra.

#M4004580",True,True
"The Marc Jacobs Isabella Lace Paneled Crew Dress is made from Isabella Lace, composed of delicate Victorian lace in an intricate floral motif, accented by a scalloped hemline with playful eyelash edges. Black velvet and Spanish frilly lace with picot edging trim the neckline for a refined play on a Victorian lace ruff. Removable camisole lining with adjustable strap. silhouette is long sleeved with an above-the-knee hemline. Back zip closure.

100% Nylon

Made In USA

#M4005125",True,True
"We took our best selling Pippa Swing Dress and updated the fit.  We added ease to the chest and reduced the sweep -- in layman's terms this dress is more comfortable and a bit less swingy -- win, win.  We also added a touch to the length.  And what about those pockets and that incredible fabric?  Didn't change a thing. We printed this bold black and yellow print (thanks Wiz Khalifa) on our sand-washed silk charmeuse and left the shiny side against your skin. No slip required. 
Proudly made in California. 
 Washed Silk Charmuse (reversed). Matte finish. Opaque, no slip needed.
 
 Classic Fit — not over-sized, not too fitted, but just right.
XSSMLChest36 1/237 1/839 1/841 1/8Waist42 1/2444648Shoulders14 5/81515 1/216Sweep57 5/859 1/861 1/863 1/8Body Length33 7/834 3/834 7/835 3/8",True,True
"style notes
 Mini length, maximum style. Allover embellishment provides the prettiest backdrop for the thoughtfully tailored Jania Dress.
 DETAILS
 
- V-neck- Sleeveless- Embellished- Exposed back zip- Mini length",True,True
- High neck - Long sleeve - Drop waist - Flare bottom - Mini length,True,True
"Our iconic Popover dress gets a graphic update this season with the artisanal look of hand-painted stripes incorporated with a subtly  graphic plaid. Here, it arrives with a relaxed silhouette in a transitional-  weight fabric that offers feminine, fluid shape. A flattering low  V neckline with a modern update to a box  pleat and slight cap sleeves streamline this look  for effortless sophistication. Falls just about  the  knee.",True,True
"This season, fall’s most delicious looks have us feeling fresh—fresh as juice, to be exact. Inspired by liquid lunches, Opening Ceremony reimagined the fruit stand to create a collection stocked with banana peel vinyl, leafy jacquards, and produce stickers stamped on knits. But find no squeezing here: From peel-away epaulets to swirled ruffles, the silhouettes mix the fitted and the draped for a well-balanced collection.  The crisp shirtdress is the OC girl's staple. This one is detailed with a covered button-up placket for a clean silhouette. The drop-shoulder short-sleeves mimic the look of cap-sleeves with split, angled cuts. This is also repeated at the hem, with a slightly shorter back layered atop the front. 95% Cotton, 5% Polyurethane; Lining: 100% Cotton | Made in US",True,True
"If you're a fan of our Beatrice Tee, you'll love The Waverly Dress.  With a slightly longer sleeve and a subtle ruffle panel along each side seam, this shift is a versatile shape that works both day and night. The black and white pattern features abstract tulips -- the perfect blend of pretty and edgy. We crafted it in our luxe sand-washed silk charmeuse and left the shiny side against your skin. No slip needed.
Proudly made in California.
 Washed Silk Charmuse (reversed). Matte finish. Opaque, no slip needed.
 
 Classic Fit — not over-sized, not too fitted, but just right.
XSSMLChest35 5/837 1/839 1/841 1/8Waist36 5/838 1/840 1/842 1/8Shoulders14 1/414 3/415 1/415 3/4Sweep53 3/455 1/457 1/459 1/4Body Length33 1/433 3/434 1/434 3/4",True,True
"Depending on your height you can wear the Faun as a dress or top. The Jacquard makes it a classic and structured piece. Wear it with olive suede over knee boots.
jacquard fabric, four pearl buttons, lined 

Bust: XS- 47"" // S- 49"" // M- 51"" // L- 53""Hip: XS- 48"" // S- 50"" // M- 52"" // L- 54""",True,True
"Details:
A cowl neck and wrap skirt update this print jersey dress. Soft side tucks flatter the figure. Pull-over style. 3/4 sleeves. 

Fabric: Jersey.
Rayon/spandex.
Dry clean.                             
How It Fits:
Length: 39in / 99cm, from shoulder to hem
Model is in size P
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm                            ",True,True
"A leopard-printed front panel adds artful flair this easy mixed-media dress, featuring a dropped-waist finish.

- Roundneck
- Short sleeves
- Drop waist
- Pullover
- About 33"" from shoulder to hem
- Polyester
- Contrast: Modal
- Dry clean
- Imported

",True,True
"Masterfully crafted in the USA, the romantic design features laser-cut flowers and trim details that are hand-pinched, ruched, and appliquéd to create an allover dimensional floral design with bead and sequin embroidery. Nipped at the waist and fitted through the torso, the fitted bodice flares into a flattering flounced hem.

• Back zip with self-tie halter
• 100% silk / lace
• Dry clean only
• Made in USA",True,True
"Classic button down with hidden buttons and stitch detailing on the collar. Extended panel from the waist.  Wear as a tunic or dress.       
 
+Color(s): Navy
+100% Cupro
+Dry clean only
+Model is 5'7, size 2 wearing a S
+Flat measurements of S (doubled where necessary):
Bust: 38""
Across Shoulder: 14""",True,True
"Clean stripes makes the Gracie wrap an instant classic. Sleeveless, true wrap style. In a perfect weight ceramic fabric that flatters the body. Mini length. Fit is true to size. Fabric: 82% Viscose 13% Polyamide 5% Elastane",True,True
"style notes
 Worth its weight in gold, the Remi Racer Back Dress is one fabulous conversation starter. Will all over beaded embellishment and an ombre color palette, this is one purchase you will never regret. 
 DETAILS
 
- Sleeveless
- Embellishment throughout
- Racer back
- Exposed back zipper
- Mini length",True,True
"Final Sale 

A mini sheath dress in a clean neoprene fabric. 

DETAILS 

Pull-on construction with no zip closures 
Measurements taken from a size S 
Length from top of center front edge to hem, 27 3/8""; back, 29 3/8"" 
Imported 

MATERIAL 

Technical Neoprene 
85% Polyamide, 15% Elastane 
Dry clean 
Italy",True,True
"The ultimate party dress, the stretch lace Zarita is one of our most popular styles. 3/4 sheer lace sleeves. Exposed back zip. Scalloped lace detail at hem. Fully lined. Falls to mid-thigh. Fit runs small. Fabric: 51% Metallic 49% Nylon",True,True
"Angular seams and sharp, structured shoulders add classic Balmain edge to this fitted sheath with sheer dot-mesh sleeves and side inserts. 

- Turtleneck
- Structured shoulders
- Dot-mesh long sleeves and side inserts
- Mini skirt
- Exposed back zipper
- About 32"" from shoulder to hem
- Viscose
- Dry clean
- Made in France

",True,True
"Fringe Jersey Dress | Rebecca Taylor
- Model is a size small. Height 5'10.
- Hits at knee length.
- 36"" inches from model high point shoulder.
- 100% silk.
- Combo fabric: 60% cotton, 40% polyester.
- Fringe trim: 100% polyester.
- Dry clean only.
- Imported.",True,True
"AW15 'Uptown Urchins' Tartan Wrap Dress

- Wool tartan

- Round neck with asymtrec shoulders

- Sleeveless

- Fitted
- Wrap dress
- Back zip closure
Model wears a UK Size 8
",True,True
"This product is FINAL SALE. Returns and exchanges will not be accepted.                                                                        This season, fall’s most delicious looks have us feeling fresh—fresh as juice, to be exact. Inspired by liquid lunches, Opening Ceremony reimagined the fruit stand to create a collection stocked with banana peel vinyl, leafy jacquards, and produce stickers stamped on knits. But find no squeezing here: From peel-away epaulets to swirled ruffles, the silhouettes mix the fitted and the draped for a well-balanced collection.  An OC staple, this flared dress' top is finished with vertical ribbing and angular stitching for a shapely silhouette. The skirt features a flattering waistband and sunburst-inspired vertical seams. 73% Viscose, 15% Elite, 12% Spandex | Made in China",True,True
"It doesn't get much sexier than this barely there slip dress with multiple straps crisscrossing at the back.

- Thin straps
- Deep v-neckline
- Bust darts
- Concealed side zipper
- Body-con fit
- Lined
- About 17"" from natural waist
- Polyester/viscose/elastane
- Dry clean
- Imported

",True,True
"Who needs jewelry when you have embellishment this beautiful? A simple a line silhouette is perfectly offset by Inara's richly beaded and glamorous neckline.

- Embellished neckline
- Short sleeve
- A-line style
- Mini length",True,True
"Diagonal seaming and an alluring, cut-out neckline add contrast to this slik-blend sleeveless style.

- Hook And Eye Above Zipper At Center Back, Baby Snap Crochet Thread Lingerie Loop
- Fit And Flare silhouette
- 81% Cotton and 19% Silk, 100% Polyester
-  Length: 35in, Bust: 36.5in, Waist: 29.75in
- Dry Clean Only
- Imported
- SFT051616",True,True
"The Marc Jacobs Chalky Tartan Print Short Sleeve Dress is made from stretch cotton and features a modern, all-over Tartan print. Short sleeved with a crew neck, and an above-the-knee hem.

57% Cotton, 35% Rayon, 7% Nylon, 1% Spandex

Made In China

#M4004740",True,True
"The easy wearability of a shift dress is polished in richly textured crepe with a relaxed silhouette for a fluid drape. Three-quarter length sleeves are  double-bonded in a wide panel to create a streamlined swing with structured movement. For a more casual look, pair with sneakers or low-heeled  booties. Dress up  with over-the-knee boots. Falls to mid-knee.",True,True
"Details:
This slim cocktail dress, cuts a feminine silhouette from an exquisite blend of mesh and lace. The sweet heart neckline and deep V back flatters the shoulders and the skirt lands at a scalloped hem. Hidden back zip. Nude lining.

Fabric:
Lace

Nylon/Rayon/Spandex                            
How It Fits:
Length: 33.5"" / 85cm

Model is in size P
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm                            ",True,True
"Elizabeth and James looks to laser-cut perforations to update this mini fit-and-flare silhouette.

- Scoopneck
- Sleeveless
- Perforated trim
- Fit-and-flare silhouette
- Pleated skirt
- Concealed back zip
- Lined
- About 17"" from natural waist
- Polyester/viscose/elastane
- Dry clean
- Imported

",True,True
"Details:
Boutique exclusive.

Floral stones detail the body of this waist-defining mini dress. Deep V front and back. Hidden back zipper. Sleeveless. 

Fabric: Textured weave.
Polyester/elastane.
Professional spot clean.                             
How It Fits:
Length: 36in / 91.5cm, from shoulder to hem
Model is in size 0
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm                            ",True,True
"The popular dress is back in an updated animal print. The Arryn B dress features a gathered elastic waist with blouson top, feminine skirt with subtle ruffle hem, 3/4 length sleeves with elastic sleeve cuffs and wide boat neck. Cut with a flattering fit, it's one that will be in heavy wardrobe rotation all season long.     
													Details
							    - Animal Printed Challis
- 100% Rayon
- Dry Clean
- Imported, China

																    -  Model Is Wearing Size Small",True,True
"(FINAL SALE!) Details:
A snake print mini dress in stretch crepe. V front and back neckline. Hidden back zipper. Sleeveless. 

Fabric: Stretch crepe.
Rayon/spandex.
Dry clean.

How It Fits:
Length: 37in / 94cm, from shoulder to hem
Model is in size 0
Model is 5'9"" / 175cm, bust 32 / 81cm, waist 23 / 58cm, hips 35 / 88cm",True,True
"Rich embroidered fabric, a high neckline and an ultra sexy open back make this one special LBD.

- Features embroidered design throughout
- Waist seam
- Open back
- Back zip
- Mini length",True,True
"style notes
 Intricate lace infuses the Katy Dress with remarkable elegance, but we find the diamond-shaped open back to be totally priceless. 
 DETAILS
 
- Long sleeve
- Open diamond back detail
- Fitted style
- 100% Cotton",True,True
"Eye-catching texture and dramatic details deliver a refined sensibility to this versatile silhouette. An embossed gauze cloque fabric strikes up the bodice, while illusion macramé lace lends a sensual touch to the décolleté and the skirt. A more wearable version of our Velvet Bow & Sequin Embroidered Lace Gown, the youthful silhouette makes an after dark splash paired with our Dark Navy Quartz Glass & Swarovski Crystal Necklace  and Black Bow-Detailed Suede Leather Fibi Mules. • Includes self-belt• 84% silk /16% nylon / lace• Dry clean only• Made in Italy",True,True
"DETAILS AND FIT
FIT: This dress fits and flatters the form, emphasizing natural curves. A semi-transparent V detail runs down the front.
FABRIC: Made from Spike Knit, a soft, structured stretch fabric.
HOW TO WEAR IT: Pair with the Kala heel for a dressed up look, or wear over a bathing suit to the beach.
MATERIAL
Fabric:SPIKE KNIT
Style #: F0427649",True,True
"Pre-Order Autumn/Winter 2015 Collection      Estimated arrival between 15th July – 15th September 2015 dependant on style.     The dusty blue Jenolan dress by Roland Mouret redefines versatile dressing. Crafted from soft, double faced wool, it can be worn alone on balmy days or layered with the Hottan top for cooler climates.  Folded seams on the bodice lend a nod to Mouret.     52% Viscose; 26% Nylon; 18% Virgin Wool; 4% Elastane",True,True
"* 100% Silk
* Dry Clean Only
* Lined",True,True
"Chic oversized pockets of supple lamb leather lend edge to this sleeveless trapeze silhouette of fine Italian wool.


- Jewelneck
- Sleeveless
- Deep arm openings
- A-line shape
- Leather patch pockets
- Concealed back zip
- Back seam detail
- Turtleneck underlay not included
- Silk lining
- About 32"" from shoulder to hem
- Wool
- Pockets: Lamb leather
- Dry clean by leather specialist
- Made in Italy


",True,True
"This thigh-skimming racerback dress is rendered in sheer floral lace for an ultra-sexy look that's perfect for warmer weather. 

- Round neckline
- Racerback
- Pullover style
- Zig-zag hem
- About 26"" from shoulder to hem
- Nylon
- Dry clean
- Imported

",True,True
